Banco/Billetera,Se requiere,Día de la promoción,Descuento,Rubro,Establecimiento,Tope de reintegro,Condiciones
Banco Galicia Eminent,MODO,Lunes,15%,Combustible,Axion,$15.000,"CARTERA DE CONSUMO (2). Promoción del 15% de ahorro en compras realizadas, en el país, para clientes Éminent. Tope de reintegro $15.000 por cliente, por mes. Válida todos los días lunes comprendidos entre el 01/03/2025 y el 31/03/2025 para compras realizadas con Tarjeta Galicia Mastercard Eminent escaneando el QR de MODO desde la app Galicia y/o MODO. No aplica para pagos con dinero en cuenta y/o transferencia. Promoción valida únicamente en las estaciones de servicio de YPF, Shell, Puma Energy y Axion en la compra de combustible. El importe ahorrado se acreditará dentro de los 10 días hábiles posteriores a la compra en la caja de ahorro común. Para acceder a la promoción, el participante deberá tener abierta una caja de ahorro común en el Banco, en donde se acreditará el monto del reintegro. Si el cliente tuviera más de una cuenta, el crédito se realizará en cualquiera de ellas a elección del Banco. Dicha promoción no es acumulable con otras promociones vigentes. Ejemplo: En una compra de $1000 en un pago: el importe del ahorro es de $150. No aplica para compras realizadas con tarjetas de Credito Visa Business, Visa Rural y Tarjetas de Débito emitidas a por Anses para Asignación Universal por hijo ni Progresar. La promoción no aplica a pagos a través de billeteras virtuales (excepto Modo), mPos y/o plataformas de pago online. MODO es marca registrada por Play Digital S.A., CUIT 30-71682943-6, con domicilio en Av. del Libertador 7208, Torre II, Piso 4, CABA (“PDSA”) y es un Proveedor de Servicios Tecnológicos de Banco de Galicia y Buenos Aires S.A.U. Sólo podrán participar de la promoción aquellos clientes que al momento de comprar se encuentren al día con sus productos. Banco Galicia solo es el medio de pago para la adquisición del producto/servicio."
Reba American Express,n/a,Viernes,20%,Combustible,Axion,$5.000,"BENEFICIO VÁLIDO ÚNICAMENTE PARA CONSUMOS REALIZADOS LOS DÍAS VIERNES, DESDE EL 01/03​/2025 al 31/03/2025 INCLUSIVE PARA TITULARES Y ADICIONALES DE LAS TARJETAS DE CRÉDITO AMERICAN EXPRESS, EMITIDAS POR REBA, LA APP DE REBA COMPAÑÍA FINANCIERA S.A (LOS ""SOCIOS"" Y LAS ""TARJETAS""). LOS SOCIOS ACCEDERÁN A UN 20% DE DESCUENTO EN CARGA DE COMBUSTIBLE EN LAS ESTACIONES DE SERVICIO AXION PARTICIPANTES, EL CUAL SE VERÁ REFLEJADO DENTRO DE LOS DOS RESÚMENES DE CUENTA SIGUIENTES AL MES EN EL CUAL SE REALIZARON LAS TRANSACCIONES. LA PROMOCIÓN TIENE UN TOPE DE REINTEGRO DE $5.000 (CINCO MIL PESOS ARGENTINOS) POR MES Y POR SOCIO. BENEFICIO APLICABLE A LA SIGUIENTE ENTIDAD EMISORA DE TARJETAS AMERICAN EXPRESS: REBA LA APP DE REBA COMPAÑÍA FINANCIERA S.A. MÁS INFORMACIÓN EN www.americanexpress.com.ar/experiences. NO APLICABLE PARA PAGOS A TRAVÉS DE BILLETERAS Y/O PLATAFORMAS DIGITALES. El proveedor de los productos o servicios es el exclusivo responsable por su prestación, funcionamientos y garantía, Reba Compañía Financiera S.A. solo provee el medio de pago para adquirirlos. Reba Compañía Financiera S.A, CUIT 30-62828435-7, Maipú 272, CABA."
Galicia Más,n/a,Lunes,10%,Combustible,Axion,$6.000,"EXCLUSIVAMENTE, PARA LOS CLIENTES CON TARJETA DE CRÉDITO MASTERCARD PREMIER LA BONIFICACIÓN DEL 10% (DIEZ POR CIENTO) DE DESCUENTO"
Banco Patagonia,MODO,Jueves,20%,Combustible,Axion,$3.000,"​DESDE EL 01/03/2025 AL 31/03/2025 ABONANDO LOS JUEVES CON LA TARJETA DE DÉBITO PATAGONIA 24 Y LAS TARJETAS DE CREDITO EMITIDAS POR BANCO PATAGONIA S.A., RECIBIRÁN UN 20% DE DESCUENTO EN LOS COMERCIOS REGISTRADOS BAJO EL RUBRO COMBUSTIBLE. TOPE DE DEVOLUCIÓN POR CUENTA Y POR MES: $3.000 (TRES MIL). NO ACUMULABLE CON OTRAS PROMOCIONES VIGENTES. EL IMPORTE AHORRADO EN LAS COMPRAS REALIZADAS CON LAS TARJETAS DE DÉBITO DEL BANCO SERÁ ACREDITADO EN LA CUENTA DE DÉBITO, DENTRO DE LOS 10 DÍAS HÁBILES DE REALIZADA LA OPERACIÓN. LOS REINTEGROS CORRESPONDIENTES A LAS COMPRAS EFECTUADAS CON LAS TARJETAS DE CRÉDITO VISA, MASTERCARD Y AMERICAN EXPRESS DEL BANCO SE VISUALIZARÁN EN EL RESUMEN EN QUE INGRESE LA PRIMERA CUOTA Y/O EN EL INMEDIATO POSTERIO BANCO PATAGONIA S.A. NO SE RESPONSABILIZA POR LOS CUPONES PRESENTADOS FUERA DE LAS FECHAS DE VIGENCIA DE LAS PROMOCIONES. LAS CUENTAS NO DEBERÁN REGISTRAR MORA. ES CONDICION TENER ADHERIDA A MODO LA CUENTA DE BANCO PATAGONIA. LA MARCA MODO ES PROPIEDAD DE PLAY DIGITAL, CUIT 30-71682943-6, DOMICILIO EN AV. LEANDRO ALEM 882, CABA. LA PROMOCION NO ES APLICABLE EN NINGUN PLAN AHORA. EL BENEFICIO NO APLICA PARA PAGOS EFECTUADOS A TRAVÉS DE BILLETERAS VIRTUALES NI EN COMERCIOS QUE COBREN CON POST MÓVILES/POSTNET DE PLATAFORMAS DE PAGO Y/O PORTALES DE PAGO ON LINE A EXCEPCION DE MODO"
Galicia Más,n/a,Viernes,10%,Combustible,Axion,$6.000,"EXCLUSIVAMENTE, PARA LOS CLIENTES CON TARJETA DE CRÉDITO MASTERCARD PREMIER LA BONIFICACIÓN DEL 10% (DIEZ POR CIENTO) DE DESCUENTO"
BBVA,MODO,Sábado,20%,Combustible,Axion,$6.000,"CARTERA DE CONSUMO. PROMOCIÓN VÁLIDA TODOS LOS SÁBADOS DESDE  01/03/2025 HASTA 31/03/2025 INCLUSIVE. APLICA EL 20% DE REINTEGRO PARA CLIENTES REGISTRADOS EN ON, EL PROGRAMA DE DESCUENTOS Y BENEFICIOS DE AXION, CON EL REGISTRO CONFIRMADO AL MENOS 72 HORAS PREVIAS A REALIZAR LA COMPRA, QUE COBREN EL SUELDO EN BBVA Y QUE COMPREN EXCLUSIVAMENTE A TRAVÉS DE MODO EN UN PAGO CON TARJETAS DE CRÉDITO EMITIDAS POR BBVA ESCANEANDO EL CÓDIGO QR A TRAVÉS DE BBVA GO, APP BBVA O MODO Y QUE TENGAN UNA CAJA DE AHORRO EN PESOS ACTIVA EN BBVA VINCULADA A MODO PARA PODER RECIBIR LA ACREDITACIÓN DEL REINTEGRO. TOPE DE $6.000 POR USUARIO POR MES. NO INCLUYE COMPRAS REALIZADAS POR ADICIONALES. PARA ACCEDER AL BENEFICIO LOS CLIENTES DEBEN ESTAR REGISTRADOS EN ON. EL REINTEGRO SE ACREDITARÁ DENTRO DE LOS 30 DÍAS HÁBILES POSTERIORES A LA COMPRA EN LA CAJA DE AHORRO BBVA VINCULADA A MODO. ACUMULA ÚNICAMENTE CON PROMOCIONES DE MODO. LA PROMOCIÓN NO APLICA A PAGOS REALIZADOS A TRAVÉS DE OTRAS BILLETERAS VIRTUALES Y/O PLATAFORMAS DE PAGO ONLINE (POR EJEMPLO, PAYPAL, MERCADO PAGO, UALÁ, ETC.). EL PROGRAMA DE DESCUENTOS Y BENEFICIOS ON ES DE EXCLUSIVA PROPIEDAD Y ADMINISTRACIÓN DE PAN AMERICAN ENERGY, S.L., SUCURSAL ARGENTINA. LOS ACCIONISTAS DE BANCO BBVA ARGENTINA S.A. LIMITAN SU RESPONSABILIDAD A LA INTEGRACIÓN DE LAS ACCIONES SUSCRIPTAS LEY 19.550 Y LEY 25.738. CUIT 30-50000319-3. AVDA.CÓRDOBA 111- PISO 31 CABA - CP 1054AAA.​"
Banco Supervielle,MODO,Sábado,20%,Combustible,Axion,Sin tope de reintegro.,n/a
Banco Santa Fe,MODO,Viernes,10%,Combustible,Axion,$4.000,"​Vigencia desde el 01/03/2025 al 31/03/2025. Hasta 10% de reintegro todos los viernes abonando en 1 pago con tarjetas de crédito emitidas por el Nuevo Banco de Santa Fe S.A. tope de reintegro semanal: $4.000 por cuenta por mes. Beneficio exclusivo para tarjetas de crédito Black, Platinum Y Signature. Bonificación aplicable sobre precio de contado. Válida en los comercios de la República Argentina registrados ante Prisma Medios de Pago s.a. (Visa) y Fiserv (Mastercard) bajo el rubro combustibles. No válido para compras realizadas en comercios que procesen sus ventas con múltiples tarjetas de crédito a través de plataforma única de pago en la cual no se individualice ni identifiquen comercio ni rubro ni online como ser mercado pago, QR y/o similares. Consulte rubros y procesamiento de pagos en el comercio antes de realizar el consumo. Ejemplo: en una compra con tarjeta de crédito realizada por $ 80.000 precio de contado Ud. recibirá en el resumen de su tarjeta de crédito un consumo de $ 80.000 y un reintegro de $ 4.000 en el resumen en el cual ingrese el consumo o en el posterior. La efectivización del total del descuento será efectuada vía reintegro en el resumen en el cual ingrese el consumo o en el posterior dependiendo de la fecha de compra y del cierre de la facturación de la tarjeta. El tope de reintegro se calcula por periodos mensuales, considerando la suma de las compras efectuadas por el titular con tarjeta de crédito y sus adicionales. No acumulable con otras promociones vigentes. Nuevo Banco de Santa Fe S.A. solo informa el medio y las condiciones para el pago de los productos/servicios ofrecidos por el proveedor. Previo a la contratación del producto o servicio, verifique con el proveedor sus condiciones y alcance de la garantía. Nuevo Banco de Santa Fe S.A - cCt 30-69243266-1 - San Martín 715, Rosario, Provincia de Santa Fe."
Banco Santa Cruz,MODO,Viernes,10%,Combustible,Axion,$4.000,"Beneficio exclusivo para tarjetas de crédito Black, Platinum y Signature"
Brubank,n/a,Martes,10%,Combustible,Axion,$1.000,"LA PROMOCIÓN SERÁ VÁLIDA PARA RESIDENTES EN EL ÁMBITO DE LA REPÚBLICA ARGENTINA, EXCEPTO RESIDENTES DE LAS PROVINCIAS DE TIERRA DEL FUEGO, RÍO NEGRO, MENDOZA, NEUQUÉN Y SALTA, LOS DÍAS MARTES DENTRO DEL PERÍODO DEL PERÍODO DE LAS 00:00 DEL DÍA 1 DE MARZO DE 2025 HASTA LAS 23:59 HORAS DEL DÍA 31 DE MARZO DE 2025, INCLUSIVE, EXCLUSIVAMENTE PARA LOS CLIENTES CON TARJETA DE DÉBITO VISA BRUBANK. DESCUENTO DEL 10% (DIEZ POR CIENTO), CON UN TOPE DE REINTEGRO DE $1.000 (MIL PESOS) POR TRANSACCIÓN. LAS BONIFICACIONES SE VERÁN REFLEJADAS COMO UN CRÉDITO EN EL PRIMER O SEGUNDO RESUMEN DE CUENTA QUE SE EMITA CON POSTERIORIDAD A LA FECHA DE COMPRA. EL BENEFICIO DE CUOTAS SIN INTERÉS (EN CASO DE CORRESPONDER), SERÁ OTORGADO POR EL COMERCIO, EN EL MOMENTO DE ABONARSE LA COMPRA. ENCONTRÁ MÁS INFORMACIÓN EN: https://help.brubank.com/es/articles/9010023-todos-los-martes-10-off-en-la-carga-de-combustible-en-axion-energy-compra-con-tu-tarjeta-de-debito-visa-brubank-y-gira-la-ruedita​"
